Test ID: 2021-1-15 Stress PPT Video 50   Test Date: 01/15/21   Left vole: p8086   Right vole: p8093
Video source: .mp4, playback speed: 4x

RAW DATA:
State, Localtime, Full Timestamp of start (sec since epoch), Sec in state, Cum. sec in state
----------------------------------------------------------------------
2, 18:4:12, 1615169052.818940, 1.815626, Cumulative duration: 1.815626
1, 18:4:14, 1615169054.634566, 0.283113, Cumulative duration: 0.283113
2, 18:4:14, 1615169054.917679, 0.166205, Cumulative duration: 1.981831
3, 18:4:15, 1615169055.83884, 1.200472, Cumulative duration: 1.200472
2, 18:4:16, 1615169056.284356, 2.566226, Cumulative duration: 4.548057
1, 18:4:18, 1615169058.850582, 3.042313, Cumulative duration: 3.325426
2, 18:4:21, 1615169061.892895, 0.165387, Cumulative duration: 4.713444
3, 18:4:22, 1615169062.58282, 0.526362, Cumulative duration: 1.726834
2, 18:4:22, 1615169062.584644, 0.135591, Cumulative duration: 4.849035
1, 18:4:22, 1615169062.720235, 16.528138, Cumulative duration: 19.853564
2, 18:4:39, 1615169079.248373, 0.150008, Cumulative duration: 4.999043
3, 18:4:39, 1615169079.398381, 6.376153, Cumulative duration: 8.102987
2, 18:4:45, 1615169085.774534, 0.119293, Cumulative duration: 5.118336
1, 18:4:45, 1615169085.893827, 5.370502, Cumulative duration: 25.224066
0, 18:4:51, 1615169091.264329, 0.839818, Cumulative duration: 0.839818
1, 18:4:52, 1615169092.104147, 1.558898, Cumulative duration: 26.782964
2, 18:4:53, 1615169093.663045, 0.150420, Cumulative duration: 5.268756
3, 18:4:53, 1615169093.813465, 2.298090, Cumulative duration: 10.401077
4, 18:4:56, 1615169096.111555, 0.718921, Cumulative duration: 0.718921
3, 18:4:56, 1615169096.830476, 1.350412, Cumulative duration: 11.751489
2, 18:4:58, 1615169098.180888, 0.133641, Cumulative duration: 5.402397
1, 18:4:58, 1615169098.314529, 4.081766, Cumulative duration: 30.864730
2, 18:5:2, 1615169102.396295, 1.348116, Cumulative duration: 6.750513
3, 18:5:3, 1615169103.744411, 4.139872, Cumulative duration: 15.891361
2, 18:5:7, 1615169107.884283, 0.166036, Cumulative duration: 6.916549
1, 18:5:8, 1615169108.50319, 4.604317, Cumulative duration: 35.469047
2, 18:5:12, 1615169112.654636, 0.674659, Cumulative duration: 7.591208
1, 18:5:13, 1615169113.329295, 2.295773, Cumulative duration: 37.764820
2, 18:5:15, 1615169115.625068, 0.149852, Cumulative duration: 7.741060
3, 18:5:15, 1615169115.774920, 6.406024, Cumulative duration: 22.297385
4, 18:5:22, 1615169122.180944, 0.583567, Cumulative duration: 1.302488
